ticker,exchange,assetType,priceCurrency,startDate,endDate
TENIX,NMFQS,Mutual Fund,USD,2017-01-03,2020-06-29
TENWX,NMFQS,Mutual Fund,USD,2018-12-06,2020-06-29
TENX,NASDAQ,Stock,USD,1997-01-02,2020-06-29
TENZ,NYSE ARCA,ETF,USD,2009-09-17,2015-09-23
TEO,NYSE,Stock,USD,1994-12-09,2020-06-29
TEOAX,NMFQS,Mutual Fund,USD,,
TEOCX,NMFQS,Mutual Fund,USD,,
TEOIX,NMFQS,Mutual Fund,USD,2019-12-20,2020-06-29
TEOJX,NMFQS,Mutual Fund,USD,2019-12-20,2020-06-29
TEOOX,NMFQS,Mutual Fund,USD,,
TEOPX,NMFQS,Mutual Fund,USD,,
TEOQX,NMFQS,Mutual Fund,USD,,
TEORX,NMFQS,Mutual Fund,USD,,
TEOZF,PINK,Stock,USD,2018-01-17,2018-01-24
TEP,NYSE,Stock,USD,2013-05-14,2018-07-02
TEPAX,NMFQS,Mutual Fund,USD,2013-01-02,2020-06-29
TEPBF,OTCMKTS,Stock,USD,2005-04-06,2019-09-30
TEPBX,NMFQS,Mutual Fund,USD,2012-05-22,2017-04-10
TEPCF,OTCMKTS,Stock,USD,2018-02-28,2020-06-12
TEPCX,NMFQS,Mutual Fund,USD,2013-01-02,2020-06-29
TEPCY,PINK,Stock,USD,2011-03-11,2020-06-19
TEPFX,NMFQS,Mutual Fund,USD,2013-01-02,2020-06-29
TEPIX,NMFQS,Mutual Fund,USD,2001-01-02,2020-06-29
TEPLX,NMFQS,Mutual Fund,USD,1990-01-02,2020-06-29
TEPSX,NMFQS,Mutual Fund,USD,2001-01-02,2020-06-29
TEQAX,NMFQS,Mutual Fund,USD,1998-01-02,2020-06-29
TEQBX,NMFQS,Mutual Fund,USD,2004-01-02,2017-12-28
TEQCX,NMFQS,Mutual Fund,USD,2004-01-02,2020-06-29
TEQHX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TEQIX,NMFQS,Mutual Fund,USD,1997-01-02,2020-06-29
TEQKX,NMFQS,Mutual Fund,USD,2011-01-03,2020-06-29
TEQLX,NMFQS,Mutual Fund,USD,2010-08-31,2020-06-29
TEQPX,NMFQS,Mutual Fund,USD,2011-01-03,2020-06-29
